2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=40, Description='六堵SS_69KVSC811ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=41, Description='六堵SS_69KV#1BUS87BU/L', BranchID=101, VLevel=69.0, EquipName='1BUS', EquipNum=nan, StationName='CKSS', Element='87UL_020', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=42, Description='六堵SS_SPARE', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom=nan, DataType=nan, LineName=nan, ErrMsg='未比對到，請新增規則或手動編譯', DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=43, Description='六堵SS_#1MTR751ABS', BranchID=101, VLevel=69.0, EquipName='1MTR', EquipNum=751, StationName='CKSS', Element='ABS_003', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=44, Description='六堵SS_#2MTR761ABS', BranchID=101, VLevel=69.0, EquipName='2MTR', EquipNum=761, StationName='CKSS', Element='ABS_003', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=45, Description='六堵SS_#3MTR771ABS', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,842 INFO : update CO row:Pandas(_0=559, _1=46, Description='六堵SS_開關場照明', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element='Lights_034', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,850 INFO : update CO row:Pandas(_0=559, _1=47, Description='六堵SS_路燈', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element='DD_Light_018', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=48, Description='六堵SS_SPARE', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom=nan, DataType=nan, LineName=nan, ErrMsg='未比對到，請新增規則或手動編譯', DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=49, Description='六堵SS_#1MTR750CB', BranchID=101, VLevel=69.0, EquipName='1MTR', EquipNum=750, StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
